StockNo,Date,Open,High,Low,Close,PriceDifference,RiseOrNot
2427,0103/1/7,8.7,8.84,8.69,8.83,0.14,1
2427,0103/1/8,8.89,8.98,8.88,8.88,0.05,1
2427,0103/1/9,8.87,9.2,8.87,8.87,-0.01,0
2427,0103/1/10,8.87,8.97,8.76,8.87,0,0
2427,0103/1/13,9.04,9.04,8.83,8.87,0,0
2427,0103/1/14,8.87,8.88,8.76,8.82,-0.05,0
2427,0103/1/15,8.88,8.94,8.79,8.89,0.07,1
2427,0103/1/16,8.89,9.03,8.81,8.81,-0.08,0
2427,0103/1/17,8.85,8.92,8.77,8.83,0.02,1
2427,0103/1/20,8.85,8.87,8.78,8.79,-0.04,0
2427,0103/1/21,8.8,8.85,8.77,8.83,0.04,1
2427,0103/1/22,8.83,8.89,8.75,8.76,-0.07,0
2427,0103/1/23,8.77,8.84,8.72,8.78,0.02,1
2427,0103/1/24,8.72,8.73,8.65,8.7,-0.08,0
2427,0103/1/27,8.65,8.65,8.5,8.5,-0.2,0
2427,0103/2/10,8.5,8.65,8.46,8.49,-0.01,0
2427,0103/2/11,8.57,8.57,8.45,8.45,-0.04,0
2427,0103/2/12,8.5,8.52,8.43,8.44,-0.01,0
2427,0103/2/13,8.44,8.63,8.43,8.5,0.06,1
2427,0103/2/14,8.57,8.83,8.54,8.7,0.2,1
2427,0103/2/17,8.8,9.12,8.79,8.91,0.21,1
2427,0103/2/18,9,9.19,8.95,9,0.09,1
2427,0103/2/19,9,9.07,8.86,9,0,0
2427,0103/2/20,9,9.1,8.88,8.9,-0.1,0
2427,0103/2/21,9,9.03,8.85,8.86,-0.04,0
2427,0103/2/24,8.86,8.9,8.7,8.72,-0.14,0
2427,0103/2/25,8.76,8.91,8.76,8.83,0.11,1
2427,0103/2/26,8.83,8.94,8.8,8.86,0.03,1
2427,0103/2/27,8.94,9.05,8.9,8.91,0.05,1
2427,0103/3/6,9.8,9.97,9.52,9.6,0.1,1
2427,0103/3/7,9.64,9.67,9.2,9.22,-0.38,0
2427,0103/3/10,9.24,9.6,9.23,9.44,0.22,1
2427,0103/3/11,9.49,9.49,9.28,9.31,-0.13,0
2427,0103/3/12,9.31,9.42,9.22,9.33,0.02,1
2427,0103/3/13,9.35,9.45,9.28,9.28,-0.05,0
2427,0103/3/14,9.25,9.34,9.15,9.15,-0.13,0
2427,0103/3/17,9.15,9.4,9.15,9.25,0.1,1
2427,0103/3/18,9.28,9.38,9.25,9.25,0,0
2427,0103/3/19,9.3,9.36,9.2,9.27,0.02,1
2427,0103/3/20,9.23,9.27,9.03,9.11,-0.16,0
2427,0103/3/21,9.1,9.22,8.92,8.95,-0.16,0
2427,0103/3/24,8.8,8.88,8.61,8.71,-0.24,0
2427,0103/3/25,8.61,9.31,8.61,9.31,0.6,1
2427,0103/3/26,9.45,9.45,9.2,9.35,0.04,1
2427,0103/3/27,9.4,10,9.29,10,0.65,1
2427,0103/3/28,10.25,10.25,9.76,9.8,-0.2,0
2427,0103/3/31,9.7,10.45,9.7,10.45,0.65,1
2427,0103/4/7,10.2,10.25,10.1,10.15,-0.1,0
2427,0103/4/8,10.15,10.25,9.99,10.05,-0.1,0
2427,0103/4/9,10.15,10.35,10.1,10.1,0.05,1
2427,0103/4/10,10.2,10.2,9.8,9.8,-0.3,0
2427,0103/4/11,9.7,9.9,9.6,9.8,0,0
2427,0103/4/14,9.85,9.85,9.33,9.35,-0.45,0
2427,0103/4/15,9.41,9.58,9.35,9.43,0.08,1
2427,0103/4/16,9.46,9.79,9.46,9.72,0.29,1
2427,0103/4/17,9.81,9.95,9.73,9.83,0.11,1
2427,0103/4/18,9.92,9.95,9.72,9.72,-0.11,0
2427,0103/4/21,9.75,9.84,9.67,9.68,-0.04,0
2427,0103/4/22,9.7,9.77,9.61,9.61,-0.07,0
2427,0103/4/23,9.63,9.77,9.55,9.6,-0.01,0
2427,0103/4/24,9.6,9.62,9.34,9.34,-0.26,0
2427,0103/4/25,9.38,9.38,8.83,8.83,-0.51,0
2427,0103/4/28,8.8,9,8.65,8.84,0.01,1
